Key,Description,Standard,Chinese,Japanese,TraditionalChinese,French,Korean,Basque,Italian,Spanish,Deutsch,Russian,Turkish,Brazilian,Polish
SAY.Cottage.SavePointFlowChart.13.Save Point,,Great!,很好!,いいね！,很好!,Super !,좋아요!,Ederto!,Ottimo!,¡Genial!,Klasse!,Отлично!,Harika!,Ótimo!,Wspaniale!
SAY.Cottage.SavePointFlowChart.286.Save Point,,Goodluck!,祝你好运!,幸運を！,祝你好運!,Bonne chance !,행운을 빌어요!,Zorte on!,Buona fortuna!,¡Buena suerte!,Viel Glück!,Удачи!,Bol şans!,Boa sorte!,Powodzenia!
SAY.Cottage.SavePointFlowChart.309.Pink,,Thanks...,谢谢...,ありがとう…,謝謝...,Merci...,고맙습니다...,Milesker...,Grazie...,Gracias...,Danke...,Спасибо...,Teşekkürler...,Valeu...,Dzięki...
SAY.Cottage.SavePointFlowChart.7.Save Point,,Oh...,哦...,そっか…,哦...,Oh...,오...,Hara...,Oh...,Oh...,Oh...,О...,Oh...,Oh...,Oj...
SAY.Cottage.SavePointFlowChart.304.Save Point,,You sure are a feisty one!,你还真是个小气鬼!,威勢がいいね！,你還真是個小氣鬼!,Quelle fougue !,굉장히 화끈하신 분이네요!,Zu bai kementsua!,Certo che sei tutto pepe!,¡Sí que eres persistente!,Du bist ja ganz schön lebhaft!,А ты смелый!,Pek bir girişkensin!,Você com certeza possui determinação!,Zdecydowanie jesteś zadziorny!
SAY.Cottage.SavePointFlowChart.261.Pink,,...I am sorry...,...我非常抱歉...,…ごめんね…,...我非常抱歉...,...Je suis désolé...,...미안해요...,...Barkatu...,...Mi dispiace...,... Lo siento mucho...,...Es tut mir leid...,...Мне жаль...,...Üzgünüm...,... Me desculpe...,...Przepraszam...
SAY.Cottage.SavePointFlowChart.292.Save Point,,Your journey is almost over now.,你的旅程已经快要接近终点.,君の旅はもうすぐ終わりだ。,你的旅程已經快要接近終點.,Ton aventure touche maintenant à sa fin.,당신의 여정도 끝이 머지않았습니다.,Zure bidaia amaitzear dago.,Ormai il tuo viaggio sta per finire.,Tu aventura está a punto de acabar.,Deine Reise ist nun fast zu Ende.,Твоё путешествие почти окончено.,Serüveninin sonuna gelmek üzeresin.,Sua jornada já está quase no fim.,Twoja podróż prawie dobiega końca.
SAY.Cottage.SavePointFlowChart.299.Save Point,,Do you want to save?,你要保存吗?,セーブする？,你要保存嗎?,Veux-tu sauvegarder ?,저장하시겠습니까?,Gorde egin nahi al duzu?,Vuoi salvare la partita?,¿Quieres guardar?,Möchtest du speichern?,Ты хочешь сохраниться?,Kayıt etmek ister misin?,Você gostaria de salvar?,Czy chcesz zapisać grę?
MENU.Cottage.SavePointFlowChart.296,,Yes,是,はい,是,Oui,예,Bai,Sì,Sí,Ja,Да,Evet,Sim,Tak
MENU.Cottage.SavePointFlowChart.297,,No\n,否,いいえ\n,否,Non\n,아니오\n,Ez\n,No\n,No\n,Nein\n,Нет\n,Hayır\n,Não\n,Nie\n
SAY.NBG_4TowerOfDoom.SavePointFlowChart.1.Save Point,,I AM THE CURSED SAVE POINT.,我是受诅咒的保存点,我は呪われしセーブポイント。,我是受詛咒的保存點,JE SUIS LE POINT DE SAUVEGARDE MALÉFIQUE.,난 저주받은 세이브 포인트다.,GORDE PUNTU MADARIKATUA NAIZ.,SEI AL COSPETTO DEL PUNTO DI SALVATAGGIO MALEDETTO.      ,SOY EL PUNTO DE GUARDADO MALDITO.,ICH BIN DER VERFLUCHTE SPEICHERPUNKT.,Я - ПРОКЛЯТАЯ ТОЧКА СОХРАНЕНИЯ.,BEN LANETLİ KAYIT NOKTASIYIM.,EU SOU O PONTO DE SALVAMENTO AMALDIÇOADO.,JESTEM PRZEKLĘTYM PUNKTEM ZAPISU.
SAY.NBG_4TowerOfDoom.SavePointFlowChart.113.Save Point,,THERE IS A 50% CHANCE THAT I'LL DELETE YOUR SAVE!,有50％的机会会删除你的存档,50%の確率でセーブを消し去るぞ！,有50％的機會會刪除你的存檔,IL Y A 50% DE CHANCE QUE J'EFFACE TA SAUVEGARDE !,네 데이터를 50%의 확률로 지울 거라고!,ZURE PARTIDA EZABATZEKO %50EKO AUKERA DAGO!,C'È LA POSSIBILITÀ DEL 50% CHE IO CANCELLI IL TUO SALVATAGGIO!,¡HAY UN 50% DE POSIBILIDADES DE QUE BORRE TU PARTIDA!,"ES BESTEHT EINE WAHRSCHEINLICHKEIT VON 50%, DASS ICH DEINEN SPEICHERSTAND LÖSCHE!","ЕСТЬ 50% ВЕРОЯТНОСТЬ ТОГО, ЧТО Я УДАЛЮ ТВОЁ СОХРАНЕНИЕ!",%50 İHTİMALLE KAYIT DOSYANI SİLME İHTİMALİM VAR.,EXISTE 50% DE CHANCE DE EU DELETAR O SEU PROGRESSO!,"JEST 50% SZANS, ŻE USUNĘ TWÓJ ZAPIS!"
SAY.NBG_4TowerOfDoom.SavePointFlowChart.130.Save Point,,LUCKY FOR YOU TO HAVE SEVERAL SAVE SLOTS...,"幸运的是,你有多个存档槽...",セーブスロットが一つでなくてよかったな…,"幸運的是,你有多個存檔槽...",TU AS DE LA CHANCE D'AVOIR BEAUCOUP D'EMPLACEMENTS DE SAUVEGARDE...,세이브 슬롯이 여러 개라니 운이 좋군...,ZORIONEZ HAINBAT PARTIDA GORDETZEKO LEKUA DUZU...,"OH, HAI MOLTI SLOT DI SALVATAGGIO. CHE FORTUNA...",MENOS MAL QUE TIENES VARIOS ARCHIVOS DE GUARDADO...,ZUM GLÜCK HAST DU JA MEHRERE SPEICHERSTÄNDE...,"ТЕБЕ ПОВЕЗЛО, ЧТО ЕСТЬ НЕСКОЛЬКО ЯЧЕЕК ДЛЯ СОХРАНЕНИЙ...",BİRDEN FAZLA KAYIT ALMA İMKANIN OLDUĞU İÇİN ŞANSLISIN...,SORTE SUA DE TER VÁRIOS ESPAÇOS PARA SALVAR...,"MASZ SZCZĘŚCIE, ŻE DYSPONUJESZ KILKOMA PLIKAMI ZAPISU..."
SAY.NBG_4TowerOfDoom.SavePointFlowChart.16.Save Point,,HE HE HE...,呵呵呵,へへへ,呵呵呵,HÉ HÉ HÉ,히 히 히,KER KER KER...,HE HE HE...,"JE, JE, JE...",HE HE HE...,ХЕ-ХЕ-ХЕ...,HE HE HE,HE HE HE...,HE HE HE...
SAY.NBG_4TowerOfDoom.SavePointFlowChart.115.Save Point,,DO YOU TAKE YOUR CHANCES?,要碰碰运气吗?,一か八かやってみるか？,要碰碰運氣嗎?,TU TENTES TA CHANCE ?,한 번 운에 맡겨 볼 텐가?,AUSARTUKO ZARA?,"ALLORA, TENTI LA SORTE?",¿VAS A TENTAR A LA SUERTE?,WILLST DU DEIN GLÜCK VERSUCHEN?,РИСКНЁШЬ?,ŞANSINI DENEMEK İSTER MİSİN?,VOCÊ QUER ARRISCAR?,CHCESZ ZARYZYKOWAĆ?
MENU.NBG_4TowerOfDoom.SavePointFlowChart.4,,Yes,来吧,はい,來吧,Oui,예,Bai,Sì,Sí,Ja,Да,Evet,Sim,Tak
MENU.NBG_4TowerOfDoom.SavePointFlowChart.104,,No,算了,いいえ,算了,Non,아니오,Ez,No,No,Nein,Нет,Hayır,Não,Nie
SAY.NBG_4TowerOfDoom.SavePointFlowChart.118.Save Point,,YOUR{w=2} SAVE{w=2} WAS,你的{w=2}存{w=2}档,お前の{w=2} セーブ{w=2} は,你的{w=2}存{w=2}檔,TA{w=2} SAUVEGARDE{w=2} A ÉTÉ,너의{w=2} 세이브는{w=2},ZURE{w=2} PARTIDA{w=2}...,IL TUO{w=2} SALVATAGGIO{w=2} È STATO,TU{w=2} PARTIDA{w=2} HA SIDO…,DEIN{w=2} SPEICHERSTAND{w=2} WURDE,ТВОЁ{w=2} СОХРАНЕНИЕ{w=2},{w=2}KAYIT{w=2} DOSYAN,SEUS{w=2} DADOS{w=2} FORAM,TWÓJ{w=2} ZAPIS{w=2} ZOSTAŁ
SAY.NBG_4TowerOfDoom.SavePointFlowChart.86.Save Point,,DELETED!,已删除,消えた,已刪除,SUPPRIMÉE,삭제되었다,EZABATU DA!,CANCELLATO!,¡BORRADA!,GELÖSCHT!,УДАЛЕНО!,SİLİNDİ,DELETADOS!,USUNIĘTY!
SAY.NBG_4TowerOfDoom.SavePointFlowChart.124.Save Point,,HA HA HA HA!,哈哈哈哈!,ハハハハ！,哈哈哈哈!,HA HA HA HA !,하 하 하 하!,KAR KAR KAR KAR!,HA HA HA HA !,"¡JA, JA, JA, JA!",HA HA HA HA!,ХА-ХА-ХА-ХА!,HA HA HA HA!,HA HA HA HA!,"HA, HA, HA, HA!"
SAY.NBG_4TowerOfDoom.SavePointFlowChart.119.Save Point,,But seriously...,不过说实话...,でもマジメな話…,不過說實話...,"Bon, sérieusement...",사실 거짓말이에요...,Orain benetan...,"No dai, scherzo...","No, ahora en serio...",Aber mal ernsthaft...,А если серьезно...,Şaka bir yana...,Mas sério...,A tak na serio...
SAY.NBG_4TowerOfDoom.SavePointFlowChart.125.Save Point,,Your game was saved.,你的游戏已保存,ゲームはセーブされたからね。,你的遊戲已保存,Ta partie a été sauvegardée.,게임이 저장되었습니다.,Zure partida gorde da.,La tua partita è stata salvata.,Tu partida se ha guardado.,Dein Spiel wurde gespeichert.,Игра сохранена.,Oyunun kaydedildi.,Seu jogo foi salvo.,Gra została zapisana.
SAY.NBG_4TowerOfDoom.SavePointFlowChart.126.Save Point,,"Good luck{w=0.5}, you're gonna need it.","好运气{w=0.5},你需要它",この先も幸運を祈るよ{w=0.5}。,"好運氣{w=0.5},你需要它","Bonne chance{w=0.5}, tu en auras besoin.","행운을 빌어요{w=0.5}, 그게 필요하게 될 거예요.","Zorte on{w=0.5}, beharko duzu eta.","Buona fortuna{w=0.5}, ne avrai bisogno.","Buena suerte{w=0.5}, la necesitarás.","Viel Glück{w=0.5}, du wirst es brauchen.",Удачи{w=0.5}. Она тебе понадобится.,"Bol şans{w=0.5}, buna ihtiyacın olacak.","Boa sorte{w=0.5}, você vai precisar.","Powodzenia{w=0.5}, przyda ci się."
SAY.NBG_4TowerOfDoom.SavePointFlowChart.105.Save Point,,A WISE CHOICE!,明智的选择,賢い選択だ！,明智的選擇,SAGE DÉCISION !,현명한 선택이에요!,ZENTZUZKOA ZU!,SAGGIA DECISIONE!,¡UNA SABIA DECISIÓN!,EINE WEISE ENTSCHEIDUNG!,МУДРОЕ РЕШЕНИЕ!,AKILLICA BİR SEÇİM!,UMA ESCOLHA SÁBIA!,MĄDRY WYBÓR!
SAY.NBG_2Bridge.SavePointFlowChart.121.Save Cow,,Moo?,哞?,モー？,哞?,Meuh ?,음머?,Marru?,Muu?,¿Muu?,Muh?,Му?,Möö?,Muu?,Muu?
MENU.NBG_2Bridge.SavePointFlowChart.4,,Save,保存,セーブ,保存,Sauvegarder,저장,Gorde,Salva,Guardar,Speichern,Сохраниться,Kaydet,Salvar,Zapisz
MENU.NBG_2Bridge.SavePointFlowChart.104,,Moo?,哞?,モー？,哞?,Meuh ?,음머?,Marru?,Muu?,¿Muu?,Muh?,Му?,Möö?,Muu?,Muu?
SAY.NBG_2Bridge.SavePointFlowChart.115.Save Cow,,Moo.,哞.,モー。,哞.,Meuh.,음머.,Marru.,Muu.,Muu.,Muh.,Му.,Möö.,Muu.,Muu.
SAY.NBG_2Bridge.SavePointFlowChart.118.Save Cow,,Moo!,哞!,モー！,哞!,Meuh !,음머!,Marru!,Muu!,¡Muu!,Muh!,Му!,Möö!,Muu!,Muu!
SAY.NBG_2Bridge.SavePointFlowChart.105.Save Cow,,Moo...,哞...,モー…,哞...,Meuh...,음머...,Marru...,Muu...,Muu...,Muh...,Му...,Möö...,Muu...,Muu...
SAY.NBG_1Temple.MushroomPriest FlowChart.83.Teal Priest Mushroom,,"Good fortunes to thee and thy quest{w=0.3}, O great warrior!",祝你武运昌隆! 武士!,あなたの旅路に幸運があらんことを{w=0.3}、偉大なる戦士よ！,祝你武運昌隆! 武士!,"Chance et fortune puissent t'accompagner dans ta quête{w=0.3}, ô grand guerrier !","자네의 여정에 행운이 오길 바라네{w=0.3}, 위대한 전사여!","Zori ona izan beza berorren abenturan{w=0.3}, gudari ausart hori!","Che la fortuna ti assista nella tua missione{w=0.3}, oh prode guerriero! ","¡Bienaventurado seas en tus hazañas{w=0.3}, oh, valiente caballero!","Möget Ihr und Eure Queste von Glück erfüllt sein, O großer Krieger!","Да будет же удача сопутствовать тебе в пути{w=0.3}, О великий воин!","Sizlere maceranızda bol şans dilerim{w=0.3}, ulu savaşçı!","Boa sorte para ti e tua missão{w=0.3}, ó grande guerreiro!","Liczności sukcesów życzę ci i twej misji{w=0.3}, Chwalebny wojowniku!"
SAY.NBG_1Temple.BlueCurlyMushroomNewBoardGame  FlowChart.69.Blue Curly Mushroom,,What a cool way of fighting!,多么酷的战斗方式!,カッコいい戦い方だねー！,多麼酷的戰鬥方式!,Ton style de combat est vraiment trop cool !,정말 멋진 전투였어요!,Berorrek bai daki borrokan!,Che maniera fighissima di combattere!,¡Qué forma más chula de pelear!,Was für eine coole Kampfkunst!,Как ты классно дерёшься!,Ne ilginç bir mücadele biçimi!,Que jeito maneiro de lutar!,Jaki świetny sposób walki!
SAY.NBG_1Temple.BlueCurlyMushroomNewBoardGame  FlowChart.84.Blue Curly Mushroom,,You just went zap zap zap on that goblin!,你刚刚狠狠的给了那个哥布林几下!,ゴブリンをバッサバッサとやっつけちゃったー！,你剛剛狠狠的給了那個哥布林幾下!,"T'étais en mode ""zap zap le goblin"" !",그 고블린을 파바박하고 날려버리다니!,Bereak eman dizkio goblin horri!,L'hai zappato ben bene quel goblin!,"¡Fuiste a por el goblin en plan ""zap, zap""!",Diesem Goblin hast du's richtig gezeigt!,"Ты такой вжух-вжух, и гоблина больше нет!",Goblinin hakkından pata küte geldin!,Você fez tipo pei pei pei naquele goblin!,Kompletnie rozgromiłeś tego goblina!
SAY.NBG_1Temple.BlueCurlyMushroomNewBoardGame  FlowChart.85.Blue Curly Mushroom,,I wish I had arms so I could wield a sword.,"我真希望能有手, 这样我就可以帅气的舞剑了!",僕にも剣を持つ腕があればなあー。,"我真希望能有手,這樣我就可以帥氣的舞劍了!","J'aimerais avoir des bras, pour manier l'épée comme toi.",저도 팔이 있었다면 칼을 들 수 있었을텐데 말이죠.,Besoak banitu berorrek bezala halako ezpata bat hartzeko.,Vorrei avere le braccia per brandire una spada.,Ojalá tuviese brazos para poder blandir una espada.,"Ich wünschte, ich hätte Arme, um ein Schwert zu tragen.","Вот бы мне руки, чтобы я смог держать меч.",Keşke kollarım olsaydı da bir kılıç kuşanabilseydim.,Eu queria ter braços para segurar uma espada.,"Chciałbym mieć ręce, mógłbym dzierżyć miecz."
SAY.NBG_1Temple.RedDeadmushroom  FlowChart.69.Red Dead Mushroom,,What a fight!,太棒了!,スゴい戦いだ！,太棒了!,Quel combat !,굉장한 전투였어요!,Zelako borroka!,Che scontro!,¡Menuda pelea!,Was für ein Kampf!,Ну и битва!,Ne mücadeleydi ama!,Mas que luta!,Co za walka!
SAY.NBG_1Temple.RedDeadmushroom  FlowChart.84.Red Dead Mushroom,,I was afraid the goblin was going to rob us blind!,我担心哥布林可能要抢我们!,ゴブリンにお金を取られるかと思ったよ！,我擔心哥布林可能要搶我們!,J'ai bien cru que le goblin allait tout piller !,하마터면 고블린에게 도둑질당할 뻔했네요!,Goblinak dena lapurtuko zigulakoan nengoen!,Temevo che quel goblin ci avrebbe lasciato in mutande!,¡Pensaba que el goblin se nos iba a llevar hasta la ropa interior!,"Ich hatte schon Angst, der Goblin würde uns bis aufs letzte Hemd beklauen!","Я боялся, что гоблин обдерёт нас до нитки!",Goblin bizi soyup soğana çevirecek diye çok korktum!,Fiquei com medo de que aquele goblin iria nos roubar ás cegas!,"Bałem się, że goblin okradnie nas ze wszystkiego!"
SAY.NBG_1Temple.RedDeadmushroom  FlowChart.85.Red Dead Mushroom,,Glad you were here!,你在这里真的太好了!,君がいてよかった！,你在這裏真的太好了!,Merci pour avoir été là !,당신이 있어서 정말 다행이에요!,Zorionez berori hemen zegoen!,Per fortuna eri qui!,¡Menos mal que estabas aquí!,"Gut, dass du hier warst!","Рад, что ты был здесь!",Neyse ki buradaydın!,Que bom que você estava aqui!,"Cieszę się, że tu byłeś!"
SAY.NBG_1Temple.RedDeadmushroom  FlowChart.86.Red Dead Mushroom,,I don't think I would have stood a chance against it...,我认为我没有机会反抗它.,僕じゃ敵わなかっただろうし…,我認為我沒有機會反抗它.,J'aurai sans doute eu aucune chance face à lui...,전 그 녀석과 제대로 싸우지도 못했을 거에요...,Ez dut uste horren aurka egiteko gai izango nintzatekeenik...,Non credo che sarei riuscito a sconfiggerlo...,"Si no, no hubiésemos tenido ni una oportunidad...","Ich glaube nicht, dass ich auch nur eine Chance gegen ihn gehabt hätte...","Не думаю, что у меня против него были бы шансы...",Bir başıma ona karşı pek şansım olmazdı...,Eu não teria chance alguma contra ele...,Zapewne nie miałbym z nim szansy...
SAY.MushroomForestGladeScene.EmptyFlowerPotPotMushroomForest FlowChart.83..,,You found a {color=#5b2f1a}clay pot{/color}!,你拿起一个空陶罐,空の植木鉢を拾った,你拿起一個空陶罐,Vous prenez le pot de fleur vide.,당신은 빈 화분을 주웠다,{color=#5b2f1a}Loreontzi bat{/color} aurkitu duzu!,Hai ottenuto un {color=#5b2f1a}vaso vuoto{/color}!,¡Has conseguido una {color=#5b2f1a}maceta{/color}!,Du hast einen {color=#5b2f1a}Blumentopf{/color} gefunden!,Вы подобрали {color=#5b2f1a}горшок{/color}!,Boş bir çiçek saksısı aldın,Você pegou um {color=#5b2f1a}vaso de plantas vazio{/color}!,Znalazłeś {color=#5b2f1a}glinianą doniczkę{/color}!
SAY.MushroomForestGladeScene.GreenMagesEyeMushroomForest FlowChart.83.Empty,,You picked up a {color=#ffa200}shiny gem{/color}.,你捡起了一颗闪亮的玻璃眼珠,ピカピカのガラスの眼を拾った,你撿起了一顆閃亮的玻璃眼珠,Vous prenez {color=#ffa200}une gemme irisée{/color}.,당신은 빛나는 안경알을 주웠다,{color=#ffa200}Harribitxi{/color} bat hartu duzu.,Hai ottenuto una {color=#ffa200}gemma scintillante{/color}.,Has conseguido una {color=#ffa200}gema brillante{/color}.,Du hast einen {color=#ffa200}glänzenden Stein{/color} aufgehoben.,Вы взяли {color=#ffa200}блестящий самоцвет{/color}.,"Parlak, cam bir göz aldın",Você pegou uma {color=#ffa200}gema brilhante{/color}.,Podniosłeś {color=ffa200}błyszczący klejnot{/color}.
SAY.LastTempleThroneRoom.TheifFlowChart.110.Blue Thief,,I had forgotten how it feels to be tall!,我都快忘记变高的感觉了,背が高かったときの気分をすっかり忘れてた！,我都快忘記變高的感覺了,J'avais oublié ce que ça faisait d'être grand !,키가 크다는 게 어떤 느낌인지 잊을 뻔했어!,Ahaztuta neukan zer zen altua izatea!,Avevo dimenticato cosa si provava ad essere alti!,¡Había echado de menos ser tan alto!,"Ich hatte ganz vergessen wie es sich anfühlt, groß zu sein!","Я уже забыл, каково быть высоким!",Uzun olmanın nasıl bir his olduğunu unutmuşum!,Eu tinha esquecido como é se sentir alto!,"Aż zapomniałem, jak to jest być wysokim!"
